name,position,age,player_id,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
Alex Erickson,WR,31.4,00-0032543,2019,1,1,26.0,0,0.0,0.0,0.0,0,0,23.0,3.0,1.0,1.738960771006532,0,1.1304347826086956,0.0,5,33.0,0,0.0,0.0,2.0,0.37128896854119375,0,43,78,529.0,0,1.0,0.0,685.0,227.0,26.0,-9.912241799064361,0,14.108897562269915,2.155127545374575,2.1691544015838344,4.751099399170547,0.0,57.24,100.24,15,0.13471502590673576,0.1422046917168362,0.13568439928272563,0.31583629223357257,0.13837300549306827,0.0,0.14285714285714285,0.13,0.06918650274653414,0.11069840439445462,0.9136442141623489,0.08293756515695586
Alex Tanney,QB,34.3,00-0029623,2019,1,1,1.0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,-0.04524400760419667,0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037537537537537537
Alexander Armah,RB,29.9,00-0033296,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6,11.0,1,0.0,0.0,1.0,-1.810228729620576,0,2,2,6.0,0,0.0,0.0,-1.0,7.0,0.0,-0.6324376258999109,0,0.8333333333333333,0.0757142857142857,-0.0035400736335315756,0.11109337702795646,0.0,7.7,9.7,6,0.009569377990430622,-0.0006150061500615006,0.01078582434514638,0.01386206206559673,0.004160887656033287,0.0,0.0,0.0,0.0020804438280166435,0.00332871012482663,0.028708133971291867,0.0164440225130535
Alexander Hollins,WR,24.5,00-0035104,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,4,46.0,0,0.0,0.0,75.0,6.0,2.0,1.0903646012746542,0,0.9583333333333334,0.18448275862068964,0.8016377333770062,0.8378705512949387,0.0,4.6000000000000005,6.6000000000000005,2,0.0784313725490196,0.21929824561403508,0.03296703296703297,0.2930856553147575,0.125,0.0,0.1,0.09523809523809523,0.0625,0.1,0.9019607843137255,0.04965392717424015
Alexander Mattison,RB,25.8,00-0034972,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,100,462.0,1,1.0,1.0,19.0,-12.627606168185594,0,10,12,82.0,0,0.0,0.0,27.0,74.0,3.0,2.6980883756186813,0,0.5833333333333321,0.37904425957818616,0.09163662146710086,0.6327120243942499,0.0,58.400000000000006,68.4,13,0.030927835051546393,0.009130875887724045,0.04423191870890616,0.05369645328749883,0.02504581551618815,0.0,0.020134228187919462,0.017341040462427744,0.012522907758094075,0.020036652412950523,0.211340206185567,0.056026079976410084
Alfred Morris,RB,34.2,00-0029141,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,4.0,0,0.0,0.0,1.0,0.8743709828704596,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004164931278633903
Allen Hurns,WR,31.3,00-0030821,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,32,47,416.0,2,1.0,1.0,507.0,96.0,18.0,17.333341200219657,0,12.53142361338254,1.2485809896640145,1.5507208856346175,2.9583761044402546,0.0,51.6,83.6,14,0.08592321755027423,0.10378710337768679,0.07153502235469449,0.2119145090275608,0.11565193216569364,0.1,0.09836065573770492,0.09852216748768473,0.10782596608284682,0.11252154573255492,0.7605118829981719,0.07293156994800572
Allen Lazard,WR,28.3,00-0034521,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,21.0,0,0.0,0.0,1.0,1.3255812081042677,0,35,52,477.0,3,0.0,0.0,736.0,131.0,24.0,28.52228894806467,0,10.473769959401794,1.51323559646464,2.271034304318378,3.859577407719825,0.0,67.8,102.8,11,0.13231552162849872,0.2055291817927953,0.09404163675520459,0.36289662787698435,0.17601476014760148,0.15,0.18181818181818182,0.17763157894736842,0.16300738007380072,0.1708118081180812,1.213740458015267,0.10184267881910046
Allen Robinson,WR,30.6,00-0031428,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,2.0,0,0.0,0.0,0.0,-0.580108547816053,0,98,154,1147.0,7,0.0,0.0,1702.0,272.0,63.0,41.167987831980575,0,11.254392829609488,4.385471025351008,6.305188515612143,10.991838498955012,0.0,156.9,254.9,16,0.2655172413793103,0.375055090348171,0.17685305591677503,0.6983199343475024,0.32101875174923034,0.35,0.3539325842696629,0.35353535353535354,0.33550937587461516,0.3268150013993843,1.9775862068965517,0.2053955617153632
Alshon Jeffery,WR,33.0,00-0029137,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,2.0,1,0.0,0.0,1.0,0.6571754727629013,0,43,73,490.0,4,0.0,0.0,803.0,116.0,36.0,10.158865138810052,0,6.5578055744033845,2.1419014860478276,2.8703229230125613,5.222078275180534,0.0,79.2,122.2,9,0.22741433021806853,0.2990689013035382,0.11995863495346432,0.5803766163699333,0.2222222222222222,0.23529411764705882,0.3025210084033613,0.29411764705882354,0.22875816993464052,0.22483660130718955,1.5264797507788161,0.1441547717352837
